Name,In-game Description,Parsed Description
"Water Power","1.5x ATK for Water Att.;
Orb move time +2 seconds","Water Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Power of Water Rapids","2x ATK for Water Att.;
Orb move time +2 seconds","Water Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Wood Power","1.5x ATK for Wood Att.;
Orb move time +2 seconds","Wood Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Power of Gaia","2x ATK for Wood Att.;
Orb move time +2 seconds","Wood Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Light Power","1.5x ATK for Light Att.;
Orb move time +2 seconds","Light Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Power of Flash","2x ATK for Light Att.;
Orb move time +2 seconds","Light Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Dark Power","1.5x ATK for Dark Att.;
Orb move time +2 seconds","Dark Attribute cards ATK x1.5.
Increases time limit of orb movement by 2 seconds."
"Power of Darkness","2x ATK for Dark Att.;
Orb move time +2 seconds","Dark Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Flame Barrier","Halves Fire Att. damage","50% Fire damage reduction."
"Flame Barrier","Halves Fire Att. damage","50% Fire damage reduction."
"Ice Barrier","Halves Water Att. damage","50% Water damage reduction."
"Ice Barrier","Halves Water Att. damage","50% Water damage reduction."
"Tree Barrier","Halves Wood Att. damage","50% Wood damage reduction."
"Tree Barrier","Halves Wood Att. damage","50% Wood damage reduction."
"Light Barrier","Halves Light Att. damage","50% Light damage reduction."
"Light Barrier","Halves Light Att. damage","50% Light damage reduction."
"Dark Barrier","Halves Dark Att. damage","50% Dark damage reduction."
"Dark Barrier","Halves Dark Att. damage","50% Dark damage reduction."
"Purgatory","Inflicts a bonus attack equal to 2x ATK when matching Orbs","Deal ATK x2 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage."
"Hellfire","Inflicts a bonus attack equal to 5x ATK when matching Orbs","Deal ATK x5 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage."
"Perseverance","May survive when HP is reduced to 0","While your HP is 50% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Perseverance","May survive when HP is reduced to 0","While your HP is 50% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Iron Wall Lore","Reduces damage","Reduce damage taken by 20%."
"Iron Wall Lore","Reduces damage","Reduce damage taken by 20%."
"Healing Song","Heals HP equal to RCV when matching Orbs","Heal RCV x1 as HP after every orbs elimination."
"Miracle","Heals HP equal to 5x RCV when matching Orbs","Heal RCV x5 as HP after every orbs elimination."
"Quick Boost","Orb move time +3 seconds","Increases time limit of orb movement by 3 seconds."
"God's Hand","Orb move time +5 seconds","Increases time limit of orb movement by 5 seconds."
"Flame Barrier","Halves Fire Att. damage","50% Fire damage reduction."
"Ice Barrier","Halves Water Att. damage","50% Water damage reduction."
"Tree Barrier","Halves Wood Att. damage","50% Wood damage reduction."
"Light Barrier","Halves Light Att. damage","50% Light damage reduction."
"Dark Barrier","Halves Dark Att. damage","50% Dark damage reduction."
"Protector's Lore","Slightly reduces damage","Slightly reduces damage"
"Protector's Lore","Slightly reduces damage","Slightly reduces damage"
"Protector's Lore","Slightly reduces damage","Slightly reduces damage"
"Protector's Lore","Slightly reduces damage","Slightly reduces damage"
"Protector's Lore","Slightly reduces damage","Slightly reduces damage"
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Flame Barrier","Halves Fire Att. damage","Halves Fire Att. damage"
"Ice Barrier","Halves Water Att. damage","Halves Water Att. damage"
"Tree Barrier","Halves Wood Att. damage","Halves Wood Att. damage"
"Light Barrier","Halves Light Att. damage","Halves Light Att. damage"
"Dark Barrier","Halves Dark Att. damage","Halves Dark Att. damage"
"Power of Zeus","3x ATK when HP is full","All Attribute cards ATK x3 when HP is full."
"Power of Zeus","3x ATK when HP is full","All Attribute cards ATK x3 when HP is full."
"Quick Boost","Orb move time +3 seconds","Increases time limit of orb movement by 3 seconds."
"God's Hand","Orb move time +5 seconds","Increases time limit of orb movement by 5 seconds."
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"Purgatory","Inflicts a bonus attack equal to 2x ATK when matching Orbs","Deal ATK x2 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage."
"Rondo of Healing","Heals HP equal to 3x RCV when matching Orbs","Heal RCV x3 as HP after every orbs elimination."
"Rondo of Healing","Heals HP equal to 3x RCV when matching Orbs","Heal RCV x3 as HP after every orbs elimination."
"Rondo of Healing","Heals HP equal to 3x RCV when matching Orbs","Heal RCV x3 as HP after every orbs elimination."
"Quick Boost","Orb move time +3 seconds","Increases time limit of orb movement by 3 seconds."
"Healing Prayer","Heals HP equal to half RCV when matching Orbs","Heal RCV x0.5 as HP after every orbs elimination."
"Healing Prayer","Heals HP equal to half RCV when matching Orbs","Heal RCV x0.5 as HP after every orbs elimination."
"Healing Prayer","Heals HP equal to half RCV when matching Orbs","Heal RCV x0.5 as HP after every orbs elimination."
"Healing Prayer","Heals HP equal to half RCV when matching Orbs","Heal RCV x0.5 as HP after every orbs elimination."
"Healing Prayer","Heals HP equal to half RCV when matching Orbs","Heal RCV x0.5 as HP after every orbs elimination."
"Flame Barrier","Halves Fire Att. damage","50% Fire damage reduction."
"Ice Barrier","Halves Water Att. damage","50% Water damage reduction."
"Tree Barrier","Halves Wood Att. damage","50% Wood damage reduction."
"Light Barrier","Halves Light Att. damage","50% Light damage reduction."
"Dark Barrier","Halves Dark Att. damage","50% Dark damage reduction."
"Power of Explosion","2x ATK for Fire Att.;
Orb move time +2 seconds","Fire Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Power of Water Rapids","2x ATK for Water Att.;
Orb move time +2 seconds","Water Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Power of Gaia","2x ATK for Wood Att.;
Orb move time +2 seconds","Wood Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Power of Flash","2x ATK for Light Att.;
Orb move time +2 seconds","Light Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Power of Darkness","2x ATK for Dark Att.;
Orb move time +2 seconds","Dark Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Lunatic Rage","2x ATK for Physical Type","Physical Type cards ATK x2."
"Dragon's Blood","2.5x ATK for Physical Type","Physical Type cards ATK x2.5."
"Oath of the Warrior","1.5x HP for Balanced Type","Balanced Type cards HP x1.5."
"Grace of Scathach","2.5x HP for Balanced Type","Balanced Type cards HP x2.5."
"Pride of the Valkyrie","2x ATK for Healer Type","Healer Type cards ATK x2."
"Valkyrie's Soul","2.5x ATK for Healer Type","Healer Type cards ATK x2.5."
"None","",""
"Lucky","2.5x HP for Physical Type","Physical Type cards HP x2.5."
"Grace of the Phoenix","2.5x RCV for Balanced Type","Balanced Type cards RCV RCV x2.5."
"Roar of Fenrir","2.5x ATK for Balanced Type","Balanced Type cards ATK x2.5."
"Rage of Dragon Knight","2.5x ATK for Dragon Type","Dragon Type cards ATK x2.5."
"Prayer to God","2x ATK for God Type","God Type cards ATK x2."
"Oath of the Dragon Knight","2x HP for Dragon Type","Dragon Type cards HP x2."
"None","",""
"ファミ通Appの加護","ドロップを消した時、回復力分のHPを回復。","ドロップを消した時、回復力分のHPを回復。"
"Spirit of Fire","1.5x ATK & RCV for Fire Att.","Fire Attribute cards ATK x1.5, RCV x1.5."
"Spirit of Explosion","1.5x to all stats for Fire Att.","Fire Attribute cards HP x1.5, ATK x1.5, RCV x1.5"
"Spirit of Water","1.5x ATK & RCV for Water Att.","Water Attribute cards ATK x1.5, RCV x1.5."
"Spirit of Water Rapids","1.5x to all stats for Water Att.","Water Attribute cards HP x1.5, ATK x1.5, RCV x1.5"
"Spirit of Wood","1.5x ATK & RCV for Wood Att.","Wood Attribute cards ATK x1.5, RCV x1.5."
"Spirit of Gaia","1.5x to all stats for Wood Att.","Wood Attribute cards HP x1.5, ATK x1.5, RCV x1.5"
"Oath of Divinegon","1.5x HP for Dragon & God Types","Dragon & God Type cards HP x1.5."
"Grace of Divinegon","2x HP for Dragon & God Types","Dragon & God Type cards HP x2."
"Wrath of Divinegon","1.5x ATK for Dragon & God Types","Dragon & God Type cards ATK x1.5."
"Roar of Divinegon","2x ATK for Dragon & God Types","Dragon & God Type cards ATK x2."
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"太鼓の達人！","ドロップ操作時に太鼓の音が鳴る。","Turn orb sound effects into Taiko noises."
"Taiko no Tatsujin!","A drumming sound is made when Orbs are moved","Turn orb sound effects into Taiko noises."
"太鼓の達人！","ドロップ操作時に太鼓の音が鳴る。","Turn orb sound effects into Taiko noises."
"Taiko no Tatsujin!","A drumming sound is made when Orbs are moved","Turn orb sound effects into Taiko noises."
"太鼓の達人！","ドロップ操作時に太鼓の音が鳴る。","Turn orb sound effects into Taiko noises."
"Taiko no Tatsujin!","A drumming sound is made when Orbs are moved","Turn orb sound effects into Taiko noises."
"太鼓の達人！","ドロップ操作時に太鼓の音が鳴る。","Turn orb sound effects into Taiko noises."
"Taiko no Tatsujin!","A drumming sound is made when Orbs are moved","Turn orb sound effects into Taiko noises."
"Taiko no Tatsujin!","A drumming sound is made when Orbs are moved","Turn orb sound effects into Taiko noises."
"Taiko no Tatsujin!","A drumming sound is made when Orbs are moved","Turn orb sound effects into Taiko noises."
"Taiko no Tatsujin!","A drumming sound is made when Orbs are moved","Turn orb sound effects into Taiko noises."
"Power of Explosion","2x ATK for Fire Att.;
Orb move time +2 seconds","Fire Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Power of Water Rapids","2x ATK for Water Att.;
Orb move time +2 seconds","Water Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Power of Gaia","2x ATK for Wood Att.;
Orb move time +2 seconds","Wood Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Power of Flash","2x ATK for Light Att.;
Orb move time +2 seconds","Light Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Power of Darkness","2x ATK for Dark Att.;
Orb move time +2 seconds","Dark Attribute cards ATK x2.
Increases time limit of orb movement by 2 seconds."
"Fire and Wood Guard","Reduces Fire & Wood Att. damage","30% Fire & Wood damage reduction."
"Fire and Wood Guard","Reduces Fire & Wood Att. damage","30% Fire & Wood damage reduction."
"Blazing Forest Barrier","Halves Fire & Wood Att. damage","50% Fire & Wood damage reduction."
"Fire and Water Guard","Reduces Water & Fire Att. damage","30% Water & Fire damage reduction."
"Fire and Water Guard","Reduces Water & Fire Att. damage","30% Water & Fire damage reduction."
"Ice Flame Barrier","Halves Water & Fire Att. damage","50% Water & Fire damage reduction."
"Water and Wood Guard","Reduces Wood & Water Att. damage","30% Wood & Water damage reduction."
"Water and Wood Guard","Reduces Wood & Water Att. damage","30% Wood & Water damage reduction."
"Frost Forest Barrier","Halves Wood & Water Att. damage","50% Wood & Water damage reduction."
"Light and Wood Guard","Reduces Light & Wood Att. damage","30% Light & Wood damage reduction."
"Light and Wood Guard","Reduces Light & Wood Att. damage","30% Light & Wood damage reduction."
"Holy Forest Barrier","Halves Light & Wood Att. damage","50% Light & Wood damage reduction."
"Dark and Water Guard","Reduces Dark & Water Att. damage","30% Dark & Water damage reduction."
"Dark and Water Guard","Reduces Dark & Water Att. damage","30% Dark & Water damage reduction."
"Ice Demon Barrier","Halves Dark & Water Att. damage","50% Dark & Water damage reduction."
"None","",""
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"None","",""
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"None","",""
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Monster EXP Power Up","Receive lots of Monster EXP
when used as Fusion Material","Receive lots of Monster EXP
when used as Fusion Material"
"Resolve","May survive when HP is reduced to 0","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Resolve","May survive when HP is reduced to 0","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Resolve","May survive when HP is reduced to 0","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Resolve","May survive when HP is reduced to 0","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Resolve","May survive when HP is reduced to 0","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Resolve","May survive when HP is reduced to 0","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Blaze Counter","Massive Fire counterattack in rare cases","25% chance to deal counter Fire damage of 10x damage taken."
"Freeze Counter","Massive Water counterattack in rare cases","25% chance to deal counter Water damage of 10x damage taken."
"Stone Counter","Massive Wood counterattack in rare cases","25% chance to deal counter Wood damage of 10x damage taken."
"Lightning Counter","Strong Light counterattack sometimes","50% chance to deal counter Light damage of 5x damage taken."
"Darkness Counter","Strong Dark counterattack sometimes","50% chance to deal counter Dark damage of 5x damage taken."
"Protector's Lore","Slightly reduces damage","Slightly reduces damage"
"Planet of Blue Flame","2x ATK & 1.5x HP for Fire & Water Att.","Fire & Water Attribute cards HP x1.5, ATK x2."
"Planet of Green Flame","2x ATK & 1.5x HP for Fire & Wood Att.","Fire & Wood Attribute cards HP x1.5, ATK x2."
"Planet of Shining Flame","2x ATK & 1.5x HP for Fire & Light Att.","Fire & Light Attribute cards HP x1.5, ATK x2."
"Planet of Dark Flame","2x ATK & 1.5x HP for Fire & Dark Att.","Fire & Dark Attribute cards HP x1.5, ATK x2."
"Planet of Red Ice","2x ATK & 1.5x HP for Water & Fire Att.","Fire & Water Attribute cards HP x1.5, ATK x2."
"Planet of Green Ice","2x ATK & 1.5x HP for Wood & Water Att.","Water & Wood Attribute cards HP x1.5, ATK x2."
"Planet of Shining Ice","2x ATK & 1.5x HP for Light & Water Att.","Water & Light Attribute cards HP x1.5, ATK x2."
"Planet of Dark Ice","2x ATK & 1.5x HP for Dark & Water Att.","Water & Dark Attribute cards HP x1.5, ATK x2."
"Planet of Red Forest","2x ATK & 1.5x HP for Fire & Wood Att.; 2.5x ATK when Wood & Fire attack at once","Fire & Wood Attribute cards HP x1.5, ATK x2.
All Attribute cards ATK x2.5 when reaching 2 Wood combos."
"Planet of Blue Forest","2x ATK & 1.5x HP for Water & Wood Att.; 2.5x ATK when Wood & Water attack at once","Water & Wood Attribute cards HP x1.5, ATK x2.
All Attribute cards ATK x2.5 when reaching 2 Wood combos."
"Planet of Shining Forest","2x ATK & 1.5x HP for Light & Wood Att.; 2.5x ATK when Wood & Light attack at once","Wood & Light Attribute cards HP x1.5, ATK x2.
All Attribute cards ATK x2.5 when reaching 2 Wood combos."
"Planet of Dark Forest","2x ATK & 1.5x HP for Dark & Wood Att.; 2.5x ATK when Wood & Dark attack at once","Wood & Dark Attribute cards HP x1.5, ATK x2.
All Attribute cards ATK x2.5 when reaching 2 Wood combos."
"Red Shining Star","2x ATK & 1.5x HP for Fire & Light Att.","Fire & Light Attribute cards HP x1.5, ATK x2."
"Blue Shining Star","2x ATK & 1.5x HP for Water & Light Att.","Water & Light Attribute cards HP x1.5, ATK x2."
"Green Shining Star","2x ATK & 1.5x HP for Wood & Light Att.","Wood & Light Attribute cards HP x1.5, ATK x2."
"Dark Shining Star","2x ATK & 1.5x HP for Dark & Light Att.","Light & Dark Attribute cards HP x1.5, ATK x2."
"Red Planet of the Dark","2x ATK & 1.5x HP for Fire & Dark Att.","Fire & Dark Attribute cards HP x1.5, ATK x2."
"Blue Planet of the Dark","2x ATK & 1.5x HP for Water & Dark Att.","Water & Dark Attribute cards HP x1.5, ATK x2."
"Green Planet of the Dark","2x ATK & 1.5x HP for Wood & Dark Att.","Wood & Dark Attribute cards HP x1.5, ATK x2."
"Yellow Planet of the Dark","2x ATK & 1.5x HP for Light & Dark Att.","Light & Dark Attribute cards HP x1.5, ATK x2."
