Name, Skill CD (Max), # of Skillups, In-Game Description, Parsed Description
"Fire&Wood Orbs Change","6","8","Changes Wood Orbs & Jammers to Fire Orbs,
and Heal Orbs & Poison Orbs to Wood Orbs","Change Wood orbs to Fire orbs, Jammer orbs to Fire orbs.
Changes Heart, Poison & Mortal Poison orbs into Wood orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Fire&Water Orbs Change","6","8","Changes Fire Orbs & Jammers to Water Orbs,
and Heal Orbs & Poison Orbs to Fire Orbs","Change Fire orbs to Water orbs, Jammer orbs to Water orbs.
Changes Heart, Poison & Mortal Poison orbs into Fire orbs."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Water&Wood Orbs Change","6","8","Changes Water Orbs & Jammers to Wood Orbs,
and Heal Orbs & Poison Orbs to Water Orbs","Change Water orbs to Wood orbs, Jammer orbs to Wood orbs.
Changes Heart, Poison & Mortal Poison orbs into Water orbs."
"Guard Break","6","10","Halves enemies' DEF for 5 turns","Reduce enemies' defense by 50% for 5 turn. Effects carry forward on sweep."
"Guard Break","6","10","Halves enemies' DEF for 5 turns","Reduce enemies' defense by 50% for 5 turn. Effects carry forward on sweep."
"Guard Break","6","10","Halves enemies' DEF for 5 turns","Reduce enemies' defense by 50% for 5 turn. Effects carry forward on sweep."
"Guard Break","6","10","Halves enemies' DEF for 5 turns","Reduce enemies' defense by 50% for 5 turn. Effects carry forward on sweep."
"Guard Break","6","10","Halves enemies' DEF for 5 turns","Reduce enemies' defense by 50% for 5 turn. Effects carry forward on sweep."
"Guard Break","6","10","Halves enemies' DEF for 5 turns","Reduce enemies' defense by 50% for 5 turn. Effects carry forward on sweep."
"Guard Break","6","10","Halves enemies' DEF for 5 turns","Reduce enemies' defense by 50% for 5 turn. Effects carry forward on sweep."
"Guard Break","6","10","Halves enemies' DEF for 5 turns","Reduce enemies' defense by 50% for 5 turn. Effects carry forward on sweep."
"Guard Break","6","10","Halves enemies' DEF for 5 turns","Reduce enemies' defense by 50% for 5 turn. Effects carry forward on sweep."
"Guard Break","6","10","Halves enemies' DEF for 5 turns","Reduce enemies' defense by 50% for 5 turn. Effects carry forward on sweep."
"Defensive Stance","10","11","Halves damage for 3 turns","50% damage reduction for 3 turns."
"Defensive Stance","10","11","Halves damage for 3 turns","50% damage reduction for 3 turns."
"Defensive Stance","10","11","Halves damage for 3 turns","50% damage reduction for 3 turns."
"Defensive Stance","10","11","Halves damage for 3 turns","50% damage reduction for 3 turns."
"Defensive Stance","10","11","Halves damage for 3 turns","50% damage reduction for 3 turns."
"Defensive Stance","10","11","Halves damage for 3 turns","50% damage reduction for 3 turns."
"Armor Break","10","8","Vastly reduces enemies' DEF for 5 turns; reduces damage for 5 turns","Reduce enemies' defense by 75% for 5 turn. Effects carry forward on sweep.
20% damage reduction for 5 turns."
"Armor Break","10","8","Vastly reduces enemies' DEF for 5 turns; reduces damage for 5 turns","Reduce enemies' defense by 75% for 5 turn. Effects carry forward on sweep.
20% damage reduction for 5 turns."
"Armor Break","10","8","Vastly reduces enemies' DEF for 5 turns; reduces damage for 5 turns","Reduce enemies' defense by 75% for 5 turn. Effects carry forward on sweep.
20% damage reduction for 5 turns."
"Armor Break","10","8","Vastly reduces enemies' DEF for 5 turns; reduces damage for 5 turns","Reduce enemies' defense by 75% for 5 turn. Effects carry forward on sweep.
20% damage reduction for 5 turns."
"Menace","10","6","Delays enemies' next move for 3 turns","Delay 3 turns to all enemies."
"Menace","10","6","Delays enemies' next move for 3 turns","Delay 3 turns to all enemies."
"Guard Stance - Water","5","7","Changes Fire Orbs to Heal Orbs","Change Fire orbs to Heart orbs."
"Guard Stance - Water","5","7","Changes Fire Orbs to Heal Orbs","Change Fire orbs to Heart orbs."
"Cure","10","11","Heals 10x RCV in HP, bind status reduced by 3 turns; 1.5x RCV for 7 turns","3 turn bind recovery.
All Attribute cards RCV x1.5 for 7 turns."
"Cure","10","11","Heals 10x RCV in HP, bind status reduced by 3 turns; 1.5x RCV for 7 turns","3 turn bind recovery.
All Attribute cards RCV x1.5 for 7 turns."
"Heal","5","6","Heals 5x RCV in HP, bind status reduced by 2 turns; 1.5x RCV for 3 turns","2 turn bind recovery.
All Attribute cards RCV x1.5 for 3 turns."
"Heal","5","6","Heals 5x RCV in HP, bind status reduced by 2 turns; 1.5x RCV for 3 turns","2 turn bind recovery.
All Attribute cards RCV x1.5 for 3 turns."
"Poison Mist","10","6","1.5x ATK for Devil Type for 1 turn;
poisons all enemies","Devil Type cards ATK x1.5 for 1 turn.
Inflict Poison damage equal to ATK x1 to all enemies every turn. Ignore enemy element and defense."
"Poison Mist","10","6","1.5x ATK for Devil Type for 1 turn;
poisons all enemies","Devil Type cards ATK x1.5 for 1 turn.
Inflict Poison damage equal to ATK x1 to all enemies every turn. Ignore enemy element and defense."
"Fire Orb Change","5","5","Changes Water Orbs to Fire Orbs","Change Water orbs to Fire orbs."
"Fire Orb Change","5","5","Changes Water Orbs to Fire Orbs","Change Water orbs to Fire orbs."
"Water Orb Change","5","5","Changes Wood Orbs to Water Orbs","Change Wood orbs to Water orbs."
"Water Orb Change","5","5","Changes Wood Orbs to Water Orbs","Change Wood orbs to Water orbs."
"Wood Orb Change","5","5","Changes Fire Orbs to Wood Orbs","Change Fire orbs to Wood orbs."
"Wood Orb Change","5","5","Changes Fire Orbs to Wood Orbs","Change Fire orbs to Wood orbs."
"Light Orb Change","5","5","Changes Dark Orbs to Light Orbs","Change Dark orbs to Light orbs."
"Light Orb Change","5","5","Changes Dark Orbs to Light Orbs","Change Dark orbs to Light orbs."
"Attack Stance - Fire","5","7","Changes Heal Orbs to Fire Orbs","Change Heart orbs to Fire orbs."
"Attack Stance - Fire","5","7","Changes Heal Orbs to Fire Orbs","Change Heart orbs to Fire orbs."
"Dark Orb Change","5","5","Changes Light Orbs to Dark Orbs","Change Light orbs to Dark orbs."
"Dark Orb Change","5","5","Changes Light Orbs to Dark Orbs","Change Light orbs to Dark orbs."
"Attack Stance - Dark","5","7","Changes Heal Orbs to Dark Orbs","Change Heart orbs to Dark orbs."
"Attack Stance - Dark","5","7","Changes Heal Orbs to Dark Orbs","Change Heart orbs to Dark orbs."
"Magma Breath","4","23","1.5x ATK for Fire Att. for 2 turns; inflicts 20x ATK Fire Att. Mass Attack","Fire Attribute ATK x1.5 for 2 turns.
Inflict Fire damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Magma Breath","4","23","1.5x ATK for Fire Att. for 2 turns; inflicts 20x ATK Fire Att. Mass Attack","Fire Attribute ATK x1.5 for 2 turns.
Inflict Fire damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Blizzard Breath","4","23","1.5x ATK for Water Att. for 2 turns; inflicts 20x ATK Water Att. Mass Attack","Water Attribute ATK x1.5 for 2 turns.
Inflict Water damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Blizzard Breath","4","23","1.5x ATK for Water Att. for 2 turns; inflicts 20x ATK Water Att. Mass Attack","Water Attribute ATK x1.5 for 2 turns.
Inflict Water damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Gaia Breath","4","23","1.5x ATK for Wood Att. for 2 turns; inflicts 20x ATK Wood Att. Mass Attack","Wood Attribute ATK x1.5 for 2 turns.
Inflict Wood damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Gaia Breath","4","23","1.5x ATK for Wood Att. for 2 turns; inflicts 20x ATK Wood Att. Mass Attack","Wood Attribute ATK x1.5 for 2 turns.
Inflict Wood damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Holy Breath","4","23","1.5x ATK for Light Att. for 2 turns; inflicts 20x ATK Light Att. Mass Attack","Light Attribute ATK x1.5 for 2 turns.
Inflict Light damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Holy Breath","4","23","1.5x ATK for Light Att. for 2 turns; inflicts 20x ATK Light Att. Mass Attack","Light Attribute ATK x1.5 for 2 turns.
Inflict Light damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Inferno Breath","4","23","1.5x ATK for Dark Att. for 2 turns; inflicts 20x ATK Dark Att. Mass Attack","Dark Attribute ATK x1.5 for 2 turns.
Inflict Dark damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Inferno Breath","4","23","1.5x ATK for Dark Att. for 2 turns; inflicts 20x ATK Dark Att. Mass Attack","Dark Attribute ATK x1.5 for 2 turns.
Inflict Dark damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Quick Bomb","3","8","Halves enemies' DEF for 1 turn; inflicts 99 damage on 1 enemy","Reduce enemies' defense by 50% for 1 turn. Effects carry forward on sweep.
Deal 99 damage to 1 enemy. Ignore enemy element and defense."
"Quick Bomb","3","8","Halves enemies' DEF for 1 turn; inflicts 99 damage on 1 enemy","Reduce enemies' defense by 50% for 1 turn. Effects carry forward on sweep.
Deal 99 damage to 1 enemy. Ignore enemy element and defense."
"Hydra's Poison","15","6","1.5x ATK for God Type for 1 turn;
all enemies mortally poisoned","God Type cards ATK x1.5 for 1 turn.
Inflict Poison damage equal to ATK x10 to all enemies every turn. Ignore enemy element and defense."
"Hydra's Poison","15","6","1.5x ATK for God Type for 1 turn;
all enemies mortally poisoned","God Type cards ATK x1.5 for 1 turn.
Inflict Poison damage equal to ATK x10 to all enemies every turn. Ignore enemy element and defense."
"Shower of Healing","10","11","Fully recovers HP & bind status","Recover 100% of max HP. 9999 turn bind recovery."
"Shower of Healing","10","11","Fully recovers HP & bind status","Recover 100% of max HP. 9999 turn bind recovery."
"Change the World","13","8","2.5x ATK for God Type for 1 turn; move Orbs freely for 10 seconds","God Type cards ATK x2.5 for 1 turn.
Move orbs freely for 0.1 seconds."
"Change the World","13","8","2.5x ATK for God Type for 1 turn; move Orbs freely for 10 seconds","God Type cards ATK x2.5 for 1 turn.
Move orbs freely for 0.1 seconds."
"Ultra Gravity","13","18","Reduces enemies' remaining HP by 30%","Reduce all enemies' HP by 30%. Ignore enemy element and defense."
"Ultra Gravity","13","18","Reduces enemies' remaining HP by 30%","Reduce all enemies' HP by 30%. Ignore enemy element and defense."
"Burst Bomb","5","16","Vastly reduces enemies' DEF for 2 turns; inflicts 50x ATK attack on 1 enemy","Reduce enemies' defense by 75% for 2 turn. Effects carry forward on sweep.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x50 to all enemies. Affected by enemy element and defense."
"Burst Bomb","5","16","Vastly reduces enemies' DEF for 2 turns; inflicts 50x ATK attack on 1 enemy","Reduce enemies' defense by 75% for 2 turn. Effects carry forward on sweep.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x50 to all enemies. Affected by enemy element and defense."
"Force","20","6","Delays enemies' next move for 5 turns","Delay 5 turns to all enemies."
"Force","20","6","Delays enemies' next move for 5 turns","Delay 5 turns to all enemies."
"Iron Wall Stance","15","6","Halves damage for 5 turns","50% damage reduction for 5 turns."
"Iron Wall Stance","15","6","Halves damage for 5 turns","50% damage reduction for 5 turns."
"Shower of Healing","10","11","Fully recovers HP & bind status","Recover 100% of max HP. 9999 turn bind recovery."
"Shower of Healing","10","11","Fully recovers HP & bind status","Recover 100% of max HP. 9999 turn bind recovery."
"Change the World","13","8","2.5x ATK for God Type for 1 turn; move Orbs freely for 10 seconds","God Type cards ATK x2.5 for 1 turn.
Move orbs freely for 0.1 seconds."
"Change the World","13","8","2.5x ATK for God Type for 1 turn; move Orbs freely for 10 seconds","God Type cards ATK x2.5 for 1 turn.
Move orbs freely for 0.1 seconds."
"Magma Breath","4","23","1.5x ATK for Fire Att. for 2 turns; inflicts 20x ATK Fire Att. Mass Attack","Fire Attribute ATK x1.5 for 2 turns.
Inflict Fire damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Blizzard Breath","4","23","1.5x ATK for Water Att. for 2 turns; inflicts 20x ATK Water Att. Mass Attack","Water Attribute ATK x1.5 for 2 turns.
Inflict Water damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Gaia Breath","4","23","1.5x ATK for Wood Att. for 2 turns; inflicts 20x ATK Wood Att. Mass Attack","Wood Attribute ATK x1.5 for 2 turns.
Inflict Wood damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Holy Breath","4","23","1.5x ATK for Light Att. for 2 turns; inflicts 20x ATK Light Att. Mass Attack","Light Attribute ATK x1.5 for 2 turns.
Inflict Light damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Inferno Breath","4","23","1.5x ATK for Dark Att. for 2 turns; inflicts 20x ATK Dark Att. Mass Attack","Dark Attribute ATK x1.5 for 2 turns.
Inflict Dark damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Defensive Stance","10","11","Halves damage for 3 turns","Halves damage for 3 turns"
"Defensive Stance","10","11","Halves damage for 3 turns","Halves damage for 3 turns"
"Defensive Stance","10","11","Halves damage for 3 turns","Halves damage for 3 turns"
"Defensive Stance","10","11","Halves damage for 3 turns","Halves damage for 3 turns"
"Defensive Stance","10","11","Halves damage for 3 turns","Halves damage for 3 turns"
"None","1","0","",""
"None","1","0","",""
"Star Wake - Land","10","6","Changes Light, Heal, Poison & Jammers to Wood; Wood Orbs more likely to appear for 4 turns","Changes Light, Heal, Poison & Jammers to Wood; Wood Orbs more likely to appear for 4 turns"
"None","1","0","",""
"None","1","0","",""
"None","1","0","",""
"None","1","0","",""
"None","1","0","",""
"Smiles All Around","20","10","Changes Orbs to all Attributes & Heal;
voids damage absorption for 2 turns","Changes Orbs to all Attributes & Heal;
voids damage absorption for 2 turns"
"Space-Time Tuning Circle-Fr & Wt","9","6","Changes Orbs to Fire, Water, and Heal Orbs","Changes Orbs to Fire, Water, and Heal Orbs"
"Water Ring Jail","8","6","Changes Fire & Wood Orbs to Water Orbs;
1.5x Orb move time for 1 turn","Changes Fire & Wood Orbs to Water Orbs;
1.5x Orb move time for 1 turn"
"Space-Time Tuning Circle-Wd & Fr","9","6","Changes Orbs to Fire, Wood, and Heal Orbs","Changes Orbs to Fire, Wood, and Heal Orbs"
"Five Colored Alchemy","7","6","Changes Orbs to all Attributes","Changes Orbs to all Attributes"
"Dimension Dance - Purple Sky","7","6","Changes Jammers, Poison & Water Orbs to Dark Orbs; other allies' skills charged by 1 turn","Changes Jammers, Poison & Water Orbs to Dark Orbs; other allies' skills charged by 1 turn"
"Raging Shift","21","6","Switches places with Leader Monster, use again
to switch back; vastly reduces damage for 1 turn","Switches places with Leader Monster, use again
to switch back; vastly reduces damage for 1 turn"
"Astronomical Incandescence","9","6","Changes all Orbs to Water, Light & Heal Orbs;
this ally's Att. changes to Light for 3 turns","Changes all Orbs to Water, Light & Heal Orbs;
this ally's Att. changes to Light for 3 turns"
"Triface","10","11","Halves damage for 2 turns; 2x ATK for Dragon & Machine Types for 2 turns","Halves damage for 2 turns; 2x ATK for Dragon & Machine Types for 2 turns"
"Sparkling Lips","7","6","Creates 5 Light and Heal Orbs each at random; 
other allies' skills charged by 1 turn","Creates 5 Light and Heal Orbs each at random; 
other allies' skills charged by 1 turn"
"Destruction Song","14","10","Adds 3 combos for 1 turn","Adds 3 combos for 1 turn"
"Alighting Madness","13","6","Adds 2 combos for 1 turn;
other allies' skills charged by 2 turns","Adds 2 combos for 1 turn;
other allies' skills charged by 2 turns"
"Voice of Madness","12","6","Voids enemies' DEF for 2 turns;
other allies' skills charged by 2 turns","Voids enemies' DEF for 2 turns;
other allies' skills charged by 2 turns"
"Hurricane Shout","3","6","2 non-Wood Orbs change to Heal Orbs; changes Jammers & Poison Orbs to Wood Orbs","2 non-Wood Orbs change to Heal Orbs; changes Jammers & Poison Orbs to Wood Orbs"
"Valiant Wanderer","20","6","3x Orb move time for 1 turn;
other allies' skills charged by 3 turns","3x Orb move time for 1 turn;
other allies' skills charged by 3 turns"
"Trembling Sky Roar","4","7","Creates 3 Jammers & Dark Orbs each at random; Jammers slightly more likely to appear for 1 turn","Creates 3 Jammers & Dark Orbs each at random; Jammers slightly more likely to appear for 1 turn"
"None","1","0","",""
"Double Dark Guard","5","8","Changes Fire, Light & Poison Orbs to Heal Orbs;
reduces bind status by 3 turns","Changes Fire, Light & Poison Orbs to Heal Orbs;
reduces bind status by 3 turns"
"Dragon Strike Stance - Dark","6","6","Changes Heal Orbs to Dark Orbs,
plus bind status is reduced by 3 turns","Changes Heal Orbs to Dark Orbs,
plus bind status is reduced by 3 turns"
"None","1","0","",""
"Double Light Guard","5","8","Changes Wood, Dark & Poison Orbs to Heal Orbs;
reduces bind status by 3 turns","Changes Wood, Dark & Poison Orbs to Heal Orbs;
reduces bind status by 3 turns"
"Dragon Strike Stance - Light","6","6","Changes Heal Orbs to Light Orbs,
plus bind status is reduced by 3 turns","Changes Heal Orbs to Light Orbs,
plus bind status is reduced by 3 turns"
"Armor Break","10","8","Vastly reduces enemies' DEF for 5 turns; reduces damage for 5 turns","Vastly reduces enemies' DEF for 5 turns; reduces damage for 5 turns"
"Attack Stance - Water","5","7","Changes Heal Orbs to Water Orbs","Changes Heal Orbs to Water Orbs"
"Attack Stance - Wood","5","7","Changes Jammers, Poison & Heal Orbs to Wood Orbs","Changes Jammers, Poison & Heal Orbs to Wood Orbs"
"Attack Stance - Light","5","7","Changes Heal Orbs to Light Orbs","Changes Heal Orbs to Light Orbs"
"Poison Mist","10","6","1.5x ATK for Devil Type for 1 turn;
poisons all enemies","1.5x ATK for Devil Type for 1 turn;
poisons all enemies"
"Wrath of God","18","18","Reduces enemies' remaining HP by 35%","Reduce all enemies' HP by 35%. Ignore enemy element and defense."
"Wrath of God","18","18","Reduces enemies' remaining HP by 35%","Reduce all enemies' HP by 35%. Ignore enemy element and defense."
"Ultra Gravity","13","18","Reduces enemies' remaining HP by 30%","Reduce all enemies' HP by 30%. Ignore enemy element and defense."
"Ultra Gravity","13","18","Reduces enemies' remaining HP by 30%","Reduce all enemies' HP by 30%. Ignore enemy element and defense."
"Bomb","5","26","Reduces enemies' DEF for 1 turn; inflicts 10x ATK attack on 1 enemy","Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Bomb","5","26","Reduces enemies' DEF for 1 turn; inflicts 10x ATK attack on 1 enemy","Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Bomb","5","26","Reduces enemies' DEF for 1 turn; inflicts 10x ATK attack on 1 enemy","Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Bomb","5","26","Reduces enemies' DEF for 1 turn; inflicts 10x ATK attack on 1 enemy","Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Bomb","5","26","Reduces enemies' DEF for 1 turn; inflicts 10x ATK attack on 1 enemy","Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Bomb","5","26","Reduces enemies' DEF for 1 turn; inflicts 10x ATK attack on 1 enemy","Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Bomb","5","26","Reduces enemies' DEF for 1 turn; inflicts 10x ATK attack on 1 enemy","Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Bomb","5","26","Reduces enemies' DEF for 1 turn; inflicts 10x ATK attack on 1 enemy","Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x10 to all enemies. Affected by enemy element and defense."
